"PERIOD","DATE","SAMPLE","PLOT","TRANSECT","STATUS","COUNT","DENSITY","WM_GM2","SFDM_GM2","EXCR_M2"
"Closed season","9/14/19","A","BC1","A","Reserve",4,0.04,18.454456734,2.8973497071,9.065038732
"Closed season","9/14/19","A","BC1","B","Reserve",6,0.06,32.892260764,5.1640849396,14.755959883
"Closed season","9/14/19","A","BC1","C","Reserve",9,0.09,43.733651656,6.8661833099,20.362677133
"Closed season","9/14/19","A","BC1","D","Reserve",12,0.12,73.781430163,11.5836845355,28.297887702
"Closed season","9/14/19","A","CC1","A","Off reserve",22,0.22,68.938024306,10.8232698155,37.945728582
"Closed season","9/14/19","A","CC1","B","Off reserve",4,0.04,13.160133527,2.0661409639,7.098607844
"Closed season","9/14/19","A","CC1","C","Off reserve",4,0.04,12.146422962,1.9069884052,6.816694617
"Closed season","9/14/19","A","CC1","D","Off reserve",4,0.04,13.209705353,2.0739237403,7.175690962
"Closed season","9/14/19","A","CC2","A","Off reserve",6,0.06,19.780008487,3.1054613326,10.796172026
"Closed season","9/14/19","A","CC2","B","Off reserve",4,0.04,17.652679949,2.7714707522,8.74002853
"Closed season","9/14/19","A","CC2","C","Off reserve",1,0.01,3.494931913,0.5487043104,1.85259355
"Closed season","9/14/19","A","CC2","D","Off reserve",2,0.02,8.389149012,1.317096395,4.159608809
"Closed season","9/15/19","A","BR1","A","Reserve",56,0.56,254.512348783,39.9584387591,121.109926017
"Closed season","9/15/19","A","BR1","B","Reserve",23,0.23,111.682163927,17.5340997375,51.28866845
"Closed season","9/15/19","A","BR1","C","Reserve",4,0.04,14.06140163,2.2076400558,7.513047142
"Closed season","9/15/19","A","BR1","D","Reserve",11,0.11,52.314610457,8.2133938418,24.106294895
"Closed season","9/15/19","A","BR2","A","Reserve",25,0.25,145.926730339,22.910496663,59.629151959
"Closed season","9/15/19","A","BR2","B","Reserve",44,0.44,303.762509145,47.6907139359,116.760256532
"Closed season","9/15/19","A","BR2","C","Reserve",11,0.11,62.504726976,9.813242135,26.592570901
"Closed season","9/15/19","A","BR2","D","Reserve",10,0.1,44.324769542,6.9589888179,21.41696819
"Closed season","9/16/19","A","BR3","A","Reserve",14,0.14,70.722628531,11.1034526795,31.955450604
"Closed season","9/16/19","A","BR3","B","Reserve",23,0.23,104.108378238,16.3450153842,49.366666364
"Closed season","9/16/19","A","BR3","C","Reserve",20,0.2,102.683149652,16.1212544958,46.006573972
"Closed season","9/16/19","A","BR3","D","Reserve",30,0.3,216.577663189,34.00269312,81.493841336
"Closed season","9/16/19","A","CC4","A","Off reserve",2,0.02,10.765575697,1.6901953843,4.904138575
"Closed season","9/16/19","A","CC4","B","Off reserve",1,0.01,4.750883261,0.745888672,2.140413453
"Closed season","9/16/19","A","CC4","C","Off reserve",3,0.03,11.417906791,1.7926113662,5.952761788
"Closed season","9/16/19","A","CC4","D","Off reserve",5,0.05,25.034693986,3.9304469559,11.421030833
"Closed season","9/16/19","A","CC5","A","Off reserve",5,0.05,25.818896656,4.053566775,11.693654827
"Closed season","9/16/19","A","CC5","B","Off reserve",7,0.07,33.505594185,5.2603782871,15.738444756
"Closed season","9/16/19","A","CC5","C","Off reserve",3,0.03,16.25088944,2.5513896422,7.228233776
"Closed season","9/16/19","A","CC5","D","Off reserve",38,0.38,179.679292937,28.2096489894,83.777943147
"Closed season","9/23/19","B","CC1","A","Off reserve",41,0.41,181.606218308,28.5121762742,85.44094459
"Closed season","9/23/19","B","CC1","B","Off reserve",8,0.08,36.335080255,5.7046076004,17.636944971
"Closed season","9/23/19","B","CC1","C","Off reserve",6,0.06,26.606329486,4.1771937294,12.706629657
"Closed season","9/23/19","B","CC1","D","Off reserve",2,0.02,9.889705984,1.5526838394,4.535324124
"Closed season","9/23/19","B","CC2","A","Off reserve",4,0.04,19.766730262,3.1033766515,9.041514416
"Closed season","9/23/19","B","CC2","B","Off reserve",4,0.04,18.4751779,2.9006029302,8.789543583
"Closed season","9/23/19","B","CC2","C","Off reserve",10,0.1,29.478518988,4.628127481,17.058954427
"Closed season","9/23/19","B","CC2","D","Off reserve",1,0.01,3.087299461,0.4847060153,1.818023858
"Closed season","9/24/19","B","BR1","A","Reserve",48,0.48,218.850933908,34.3595966243,104.083560918
"Closed season","9/24/19","B","BR1","B","Reserve",11,0.11,51.767680561,8.127525849,24.03259955
"Closed season","9/24/19","B","BR1","C","Reserve",7,0.07,33.265938043,5.2227522728,15.537272572
"Closed season","9/24/19","B","BR1","D","Reserve",18,0.18,80.345116418,12.6141832775,38.275186903
"Closed season","9/24/19","B","BR2","A","Reserve",46,0.46,274.855420241,43.1523009752,115.209197899
"Closed season","9/24/19","B","BR2","B","Reserve",32,0.32,143.761885706,22.570616054,67.731689588
"Closed season","9/24/19","B","BR2","C","Reserve",4,0.04,40.929071584,6.425864239,13.372357683
"Closed season","9/24/19","B","BR2","D","Reserve",23,0.23,135.239258472,21.2325635797,55.064230758
"Closed season","9/24/19","B","BR3","A","Reserve",26,0.26,145.414664263,22.830102289,61.680786014
"Closed season","9/24/19","B","BR3","B","Reserve",20,0.2,112.019661459,17.5870868478,48.839290588
"Closed season","9/24/19","B","BR3","C","Reserve",44,0.44,277.329792917,43.5407774879,111.431440664
"Closed season","9/24/19","B","BR3","D","Reserve",47,0.47,225.055319115,35.3336851004,103.636044762
"Closed season","9/24/19","B","CC4","A","Off reserve",5,0.05,24.941577155,3.9158276134,11.664782476
"Closed season","9/24/19","B","CC4","B","Off reserve",0,0,0,0,0
"Closed season","9/24/19","B","CC4","C","Off reserve",1,0.01,5.865397711,0.9208674406,2.344560031
"Closed season","9/24/19","B","CC4","D","Off reserve",2,0.02,10.039755894,1.5762416753,4.553017546
"Closed season","9/24/19","B","CC5","A","Off reserve",4,0.04,18.421905017,2.8922390877,8.668593228
"Closed season","9/24/19","B","CC5","B","Off reserve",9,0.09,38.589990776,6.058628552,19.083182366
"Closed season","9/24/19","B","CC5","C","Off reserve",0,0,0,0,0
"Closed season","9/24/19","B","CC5","D","Off reserve",56,0.56,292.019777391,45.847105049,126.999285723
"Closed season","9/25/19","B","BC1","A","Reserve",2,0.02,19.89752453,3.1239113514,6.412219711
"Closed season","9/25/19","B","BC1","B","Reserve",10,0.1,75.29913737,11.8219645673,28.041383295
"Closed season","9/25/19","B","BC1","C","Reserve",5,0.05,25.772431247,4.0462717062,11.728066982
"Closed season","9/25/19","B","BC1","D","Reserve",2,0.02,10.210647958,1.6030717296,4.832148719
"Closed season","9/27/19","C","CC1","A","Off reserve",22,0.22,122.912782516,19.2973068548,51.466546707
"Closed season","9/27/19","C","CC1","B","Off reserve",1,0.01,4.750883261,0.745888672,2.208694831
"Closed season","9/27/19","C","CC1","C","Off reserve",6,0.06,34.179008467,5.3661043296,14.651059537
"Closed season","9/27/19","C","CC1","D","Off reserve",3,0.03,9.629594251,1.5118462974,5.182060848
"Closed season","9/27/19","C","CC2","A","Off reserve",6,0.06,27.434578775,4.3072288678,12.875752565
"Closed season","9/27/19","C","CC2","B","Off reserve",9,0.09,41.274919152,6.4801623064,19.350213676
"Closed season","9/27/19","C","CC2","C","Off reserve",3,0.03,13.696570802,2.150361616,6.433872525
"Closed season","9/27/19","C","CC2","D","Off reserve",7,0.07,22.885199055,3.5929762518,12.564709946
"Closed season","9/27/19","C","CC4","A","Off reserve",4,0.04,20.254638457,3.1799782376,9.153482869
"Closed season","9/27/19","C","CC4","B","Off reserve",2,0.02,9.53902718,1.4976272671,4.402303285
"Closed season","9/27/19","C","CC4","C","Off reserve",1,0.01,3.936404253,0.6180154678,2.002040035
"Closed season","9/27/19","C","CC4","D","Off reserve",8,0.08,30.172581202,4.7370952485,15.403819685
"Closed season","9/27/19","C","CC5","A","Off reserve",1,0.01,5.105323979,0.8015358648,2.289003051
"Closed season","9/27/19","C","CC5","B","Off reserve",7,0.07,24.556957135,3.8554422698,13.181362791
"Closed season","9/27/19","C","CC5","C","Off reserve",0,0,0,0,0
"Closed season","9/27/19","C","CC5","D","Off reserve",48,0.48,246.448298823,38.6923829162,105.065363907
"Closed season","9/28/19","C","BR1","A","Reserve",49,0.49,232.382448154,36.4840443596,109.295647997
"Closed season","9/28/19","C","BR1","B","Reserve",11,0.11,55.417194714,8.7004995707,25.05196477
"Closed season","9/28/19","C","BR1","C","Reserve",10,0.1,45.8924364,7.2051125144,21.384272384
"Closed season","9/28/19","C","BR1","D","Reserve",14,0.14,64.991823937,10.2037163577,30.991350898
"Closed season","9/28/19","C","BR2","A","Reserve",33,0.33,151.227082335,23.7426519257,71.115853511
"Closed season","9/28/19","C","BR2","B","Reserve",59,0.59,286.808555302,45.02894318,131.134331674
"Closed season","9/28/19","C","BR2","C","Reserve",42,0.42,180.363908536,28.3171336397,87.182596022
"Closed season","9/28/19","C","BR2","D","Reserve",14,0.14,76.108014047,11.9489582063,33.178465996
"Closed season","9/28/19","C","BR3","A","Reserve",17,0.17,77.816217318,12.2171461195,37.094275492
"Closed season","9/28/19","C","BR3","B","Reserve",36,0.36,179.116625744,28.1213102424,81.176565008
"Closed season","9/28/19","C","BR3","C","Reserve",57,0.57,251.403279748,39.4703149197,118.693425225
"Closed season","9/28/19","C","BR3","D","Reserve",11,0.11,57.189950727,8.9788222646,25.83743496
"Closed season","9/29/19","C","BC1","A","Reserve",2,0.02,8.696199619,1.3653033401,4.172741987
"Closed season","9/29/19","C","BC1","B","Reserve",6,0.06,31.216711561,4.9010237147,13.801668022
"Closed season","9/29/19","C","BC1","C","Reserve",10,0.1,46.698253358,7.3316257777,21.477248419
"Closed season","9/29/19","C","BC1","D","Reserve",8,0.08,53.415824843,8.3862845008,19.998445001
"Open season","10/11/19","D","CC1","A","Off reserve",10,0.1,34.951305038,5.4873548909,18.1631616611
"Open season","10/11/19","D","CC1","B","Off reserve",0,0,0,0,0
"Open season","10/11/19","D","CC1","C","Off reserve",3,0.03,13.340141304,2.0944021847,6.434124102
"Open season","10/11/19","D","CC1","D","Off reserve",4,0.04,19.236384025,3.0201122919,8.7908365
"Open season","10/11/19","D","CC2","A","Off reserve",0,0,0,0,0
"Open season","10/11/19","D","CC2","B","Off reserve",0,0,0,0,0
"Open season","10/11/19","D","CC2","C","Off reserve",0,0,0,0,0
"Open season","10/11/19","D","CC2","D","Off reserve",0,0,0,0,0
"Open season","10/12/19","D","BR1","A","Reserve",10,0.1,53.435436849,8.3893635853,23.486281013
"Open season","10/12/19","D","BR1","B","Reserve",9,0.09,31.72908352,4.9814661127,16.5642490765
"Open season","10/12/19","D","BR1","C","Reserve",4,0.04,17.288111618,2.7142335239,8.424462143
"Open season","10/12/19","D","BR1","D","Reserve",9,0.09,38.749908376,6.0837356151,18.965785813
"Open season","10/12/19","D","BR2","A","Reserve",6,0.06,24.968110918,3.9199934141,12.586728154
"Open season","10/12/19","D","BR2","B","Reserve",22,0.22,96.883437627,15.2106997077,46.911512395
"Open season","10/12/19","D","BR2","C","Reserve",19,0.19,132.546944401,20.8098702702,50.201482354
"Open season","10/12/19","D","BR2","D","Reserve",10,0.1,44.680775312,7.0148817237,21.570860932
"Open season","10/12/19","D","BR3","A","Reserve",17,0.17,72.195330489,11.3346668866,35.123863384
"Open season","10/12/19","D","BR3","B","Reserve",23,0.23,102.087042805,16.0276657202,49.373626999
"Open season","10/12/19","D","BR3","C","Reserve",25,0.25,109.669603933,17.2181278182,52.906876827
"Open season","10/12/19","D","BR3","D","Reserve",21,0.21,93.222083513,14.6358671115,44.582466433
"Open season","10/13/19","D","BC1","A","Reserve",10,0.1,100.395617348,15.7621119235,32.015843022
"Open season","10/13/19","D","BC1","B","Reserve",4,0.04,20.117292309,3.1584148924,9.210390631
"Open season","10/13/19","D","BC1","C","Reserve",11,0.11,52.121016452,8.1829995832,24.254170685
"Open season","10/13/19","D","BC1","D","Reserve",6,0.06,44.348310343,6.962684724,15.80227975
"Open season","10/13/19","D","CC4","A","Off reserve",0,0,0,0,0
"Open season","10/13/19","D","CC4","B","Off reserve",0,0,0,0,0
"Open season","10/13/19","D","CC4","C","Off reserve",0,0,0,0,0
"Open season","10/13/19","D","CC4","D","Off reserve",0,0,0,0,0
"Open season","10/13/19","D","CC5","A","Off reserve",0,0,0,0,0
"Open season","10/13/19","D","CC5","B","Off reserve",0,0,0,0,0
"Open season","10/13/19","D","CC5","C","Off reserve",0,0,0,0,0
"Open season","10/13/19","D","CC5","D","Off reserve",33,0.33,127.092207165,19.9534765256,65.255348215
"Open season","10/31/19","E","CC1","A","Off reserve",9,0.09,41.88816103,6.5764412815,19.968970108
"Open season","10/31/19","E","CC1","B","Off reserve",2,0.02,8.504307072,1.3351762102,4.211150954
"Open season","10/31/19","E","CC1","C","Off reserve",5,0.05,24.351075477,3.82311885,11.198488772
"Open season","10/31/19","E","CC1","D","Off reserve",0,0,0,0,0
"Open season","10/31/19","E","CC2","A","Off reserve",0,0,0,0,0
"Open season","10/31/19","E","CC2","B","Off reserve",4,0.04,14.530320306,2.2812602881,7.477411847
"Open season","10/31/19","E","CC2","C","Off reserve",0,0,0,0,0
"Open season","10/31/19","E","CC2","D","Off reserve",1,0.01,3.219496555,0.5054609591,1.817142764
"Open season","10/31/19","E","CC4","A","Off reserve",0,0,0,0,0
"Open season","10/31/19","E","CC4","B","Off reserve",1,0.01,4.41300292,0.6928414584,2.043324114
"Open season","10/31/19","E","CC4","C","Off reserve",0,0,0,0,0
"Open season","10/31/19","E","CC4","D","Off reserve",0,0,0,0,0
"Open season","10/31/19","E","CC5","A","Off reserve",0,0,0,0,0
"Open season","10/31/19","E","CC5","B","Off reserve",0,0,0,0,0
"Open season","10/31/19","E","CC5","C","Off reserve",0,0,0,0,0
"Open season","10/31/19","E","CC5","D","Off reserve",8,0.08,34.364537422,5.3952323753,17.046335105
"Open season","11/1/19","E","BC1","A","Reserve",0,0,0,0,0
"Open season","11/1/19","E","BC1","B","Reserve",8,0.08,48.967539858,7.6879037576,20.251430661
"Open season","11/1/19","E","BC1","C","Reserve",9,0.09,67.259849636,10.5597963929,24.820657571
