"PERIOD","STATUS","DATE","SAMPLE","PLOT","TRANSECT","SIDE","DIST_X","DIST_Y","HABITAT","CL_mm","WM_g","SFDM_g","EXCR_IND"
"Closed season","Reserve","9/14/19","A","BC1","A","L",2.8,18.75,"R",74,378.5407316,59.43089487,193.4906265
"Closed season","Reserve","9/14/19","A","BC1","A","L",2.8,18.75,"R",76,409.1304152,64.23347518,219.8251866
"Closed season","Reserve","9/14/19","A","BC1","A","L",2.8,18.75,"R",83,528.8872633,83.03530033,234.4313819
"Closed season","Reserve","9/14/19","A","BC1","A","L",2.8,18.75,"R",83,528.8872633,83.03530033,258.7566782
"Closed season","Reserve","9/14/19","A","BC1","B","R",5.6,11.25,"R",79,457.9896699,71.90437818,217.5762335
"Closed season","Reserve","9/14/19","A","BC1","B","L",0.5,13.75,"R",78,441.300292,69.28414584,221.5036016
"Closed season","Reserve","9/14/19","A","BC1","B","R",5.5,11.25,"R",85,566.8862397,89.00113964,250.5779568
"Closed season","Reserve","9/14/19","A","BC1","B","R",18.9,11.25,"R",86,586.5397711,92.08674406,255.5590925
"Closed season","Reserve","9/14/19","A","BC1","B","L",11.9,13.75,"R",85,566.8862397,89.00113964,256.0093659
"Closed season","Reserve","9/14/19","A","BC1","B","R",10.5,11.25,"R",90,669.623864,105.1309466,274.369738
"Closed season","Reserve","9/14/19","A","BC1","C","R",15.4,6.25,"R",70,321.9496555,50.54609591,179.0721536
"Closed season","Reserve","9/14/19","A","BC1","C","L",18.8,8.75,"R",75,393.6404253,61.80154678,191.0351359
"Closed season","Reserve","9/14/19","A","BC1","C","L",18.8,8.75,"R",80,475.0883261,74.5888672,227.9334255
"Closed season","Reserve","9/14/19","A","BC1","C","R",2.4,6.25,"R",78,441.300292,69.28414584,229.2681073
"Closed season","Reserve","9/14/19","A","BC1","C","R",2.4,6.25,"R",83,528.8872633,83.03530033,232.3784257
"Closed season","Reserve","9/14/19","A","BC1","C","R",2.4,6.25,"R",82,510.5323979,80.15358648,234.0068474
"Closed season","Reserve","9/14/19","A","BC1","C","R",19.2,6.25,"R",83,528.8872633,83.03530033,244.437739
"Closed season","Reserve","9/14/19","A","BC1","C","L",2.2,8.75,"R",86,586.5397711,92.08674406,246.6904285
"Closed season","Reserve","9/14/19","A","BC1","C","L",19.9,8.75,"R",86,586.5397711,92.08674406,251.4454504
"Closed season","Reserve","9/14/19","A","BC1","D","L",12.3,3.75,"R",59,195.6310459,30.7140742,131.430035
"Closed season","Reserve","9/14/19","A","BC1","D","R",5.3,1.25,"R",68,295.8718942,46.45188739,170.5485052
"Closed season","Reserve","9/14/19","A","BC1","D","L",12.3,3.75,"R",70,321.9496555,50.54609591,180.9039518
"Closed season","Reserve","9/14/19","A","BC1","D","R",13.9,1.25,"R",77,425.0154547,66.72742638,198.0282646
"Closed season","Reserve","9/14/19","A","BC1","D","R",5.2,1.25,"R",76,409.1304152,64.23347518,199.2283662
"Closed season","Reserve","9/14/19","A","BC1","D","L",13.5,3.75,"R",82,510.5323979,80.15358648,213.5745011
