TRANSECT,QUAD,DIST_X,DIST_Y
A,0A,-1.5,0
A,0B,0.5,0
A,5A,-1.5,5
A,5B,0.5,5
A,10A,-1.5,10
A,10B,0.5,10
A,15A,-1.5,15
A,15B,0.5,15
A,20A,-1.5,20
A,20B,0.5,20
B,0A,3.5,0
B,0B,5.5,0
B,5A,3.5,5
B,5B,5.5,5
B,10A,3.5,10
B,10B,5.5,10
B,15A,3.5,15
B,15B,5.5,15
B,20A,3.5,20
B,20B,5.5,20
C,0A,8.5,0
C,0B,10.5,0
C,5A,8.5,5
C,5B,10.5,5
C,10A,8.5,10
C,10B,10.5,10
C,15A,8.5,15
C,15B,10.5,15
C,20A,8.5,20
C,20B,10.5,20
D,0A,13.5,0
D,0B,15.5,0
D,5A,13.5,5
D,5B,15.5,5
D,10A,13.5,10
D,10B,15.5,10
D,15A,13.5,15
D,15B,15.5,15
D,20A,13.5,20
D,20B,15.5,20
